"Date","Confirmed_Cumulative"
"Jan 21, 2020","7"
"Jan 22, 2020","581"
"Jan 23, 2020","846"
"Jan 24, 2020","1,320"
"Jan 25, 2020","2,014"
"Jan 26, 2020","2,797"
"Jan 27, 2020","4,593"
"Jan 28, 2020","6,065"
"Jan 29, 2020","7,818"
"Jan 30, 2020","9,841"
"Jan 31, 2020","11,955"
"Feb 01, 2020","14,559"
"Feb 02, 2020","17,391"
"Feb 03, 2020","20,647"
"Feb 04, 2020","24,562"
"Feb 05, 2020","28,285"
"Feb 06, 2020","31,485"
"Feb 07, 2020","34,892"
"Feb 08, 2020","37,563"
"Feb 09, 2020","40,560"
"Feb 10, 2020","43,107"
"Feb 11, 2020","45,174"
"Feb 12, 2020","60,386"
"Feb 13, 2020","64,454"
"Feb 14, 2020","67,186"
"Feb 15, 2020","69,276"
"Feb 16, 2020","71,432"
"Feb 17, 2020","73,424"
"Feb 18, 2020","75,203"
"Feb 19, 2020","75,765"
"Feb 20, 2020","76,785"
"Feb 21, 2020","77,923"
"Feb 22, 2020","78,950"
"Feb 23, 2020","79,283"
"Feb 24, 2020","80,254"
"Feb 25, 2020","81,245"
"Feb 26, 2020","82,539"
"Feb 27, 2020","83,694"
"Feb 28, 2020","85,641"
"Feb 29, 2020","87,161"
"Mar 01, 2020","89,528"
"Mar 02, 2020","91,783"
"Mar 03, 2020","93,164"
"Mar 04, 2020","96,080"
"Mar 05, 2020","99,624"
"Mar 06, 2020","103,168"
"Mar 07, 2020","106,880"
"Mar 08, 2020","110,053"
"Mar 09, 2020","113,851"
"Mar 10, 2020","118,381"
"Mar 11, 2020","125,288"
"Mar 12, 2020","136,895"
"Mar 13, 2020","142,651"
"Mar 14, 2020","153,648"
"Mar 15, 2020","168,019"
"Mar 16, 2020","184,085"
"Mar 17, 2020","207,860"
"Mar 18, 2020","209,839"
"Mar 19, 2020","234,073"
"Mar 20, 2020","266,073"
"Mar 22, 2020","627,123"
"Mar 23, 2020","375,496"
"Mar 24, 2020","416,686"
"Mar 25, 2020","465,915"
"Mar 26, 2020","512,701"
"Mar 28, 2020","1,209,824"